period,PICQD.UNONCONSBS.ASSET.CASHDEP.Q,PICQD.UNONCONSBS.ASSET.CASHDEP.CASH.Q,PICQD.UNONCONSBS.ASSET.CASHDEP.DEP.Q,PICQD.UNONCONSBS.ASSET.CALLOAN.Q,PICQD.UNONCONSBS.ASSET.RECRESAGREE.Q,PICQD.UNONCONSBS.ASSET.RECSECBORTRANS.Q,PICQD.UNONCONSBS.ASSET.MONCLAIMBOU.Q,PICQD.UNONCONSBS.ASSET.MONHELD.Q,PICQD.UNONCONSBS.ASSET.SEC.Q,PICQD.UNONCONSBS.ASSET.SEC.JGOVBOND.Q,PICQD.UNONCONSBS.ASSET.SEC.JLOCGOVBOND.Q,PICQD.UNONCONSBS.ASSET.SEC.JCORPBOND.Q,PICQD.UNONCONSBS.ASSET.SEC.STOCK.Q,PICQD.UNONCONSBS.ASSET.SEC.FORSEC.Q,PICQD.UNONCONSBS.ASSET.SEC.OTHER.Q,PICQD.UNONCONSBS.ASSET.LOAN.Q,PICQD.UNONCONSBS.ASSET.LOAN.POLLOAN.Q,PICQD.UNONCONSBS.ASSET.LOAN.INDCOMLOAN.Q,PICQD.UNONCONSBS.ASSET.LOAN.LOANMANNET.Q,PICQD.UNONCONSBS.ASSET.TANFIX.Q,PICQD.UNONCONSBS.ASSET.TANFIX.LAND.Q,PICQD.UNONCONSBS.ASSET.TANFIX.BUILD.Q,PICQD.UNONCONSBS.ASSET.TANFIX.LEASAS.Q,PICQD.UNONCONSBS.ASSET.TANFIX.CONSPROG.Q,PICQD.UNONCONSBS.ASSET.TANFIX.OTHER.Q,PICQD.UNONCONSBS.ASSET.INTFIXAS.Q,PICQD.UNONCONSBS.ASSET.INTFIXAS.SOFT.Q,PICQD.UNONCONSBS.ASSET.INTFIXAS.OTHER.Q,PICQD.UNONCONSBS.ASSET.AGACCREC.Q,PICQD.UNONCONSBS.ASSET.REINREC.Q,PICQD.UNONCONSBS.ASSET.OTHER.Q,PICQD.UNONCONSBS.ASSET.OTHER.ACREC.Q,PICQD.UNONCONSBS.ASSET.OTHER.PREEXP.Q,PICQD.UNONCONSBS.ASSET.OTHER.ACINC.Q,PICQD.UNONCONSBS.ASSET.OTHER.MONDEP.Q,PICQD.UNONCONSBS.ASSET.OTHER.DERFININS.Q,PICQD.UNONCONSBS.ASSET.OTHER.CAHCOLPAID.Q,PICQD.UNONCONSBS.ASSET.OTHER.SUSPAY.Q,PICQD.UNONCONSBS.ASSET.OTHER.OTHER.Q,PICQD.UNONCONSBS.ASSET.DEFTAXAS.Q,PICQD.UNONCONSBS.ASSET.RESPOSLOAN.Q,PICQD.UNONCONSBS.ASSET.TOTAL.Q,PICQD.UCONSBS.ASSET.CASHDEP.Q,PICQD.UCONSBS.ASSET.CALLOAN.Q,PICQD.UCONSBS.ASSET.RECRESAGREE.Q,PICQD.UCONSBS.ASSET.RECUNSEC.Q,PICQD.UCONSBS.ASSET.MONCLAIM.Q,PICQD.UCONSBS.ASSET.MONHELD.Q,PICQD.UCONSBS.ASSET.SEC.Q,PICQD.UCONSBS.ASSET.LOAN.Q,PICQD.UCONSBS.ASSET.TANFIX.Q,PICQD.UCONSBS.ASSET.TANFIX.LAND.Q,PICQD.UCONSBS.ASSET.TANFIX.BUILD.Q,PICQD.UCONSBS.ASSET.TANFIX.LEASAS.Q,PICQD.UCONSBS.ASSET.TANFIX.CONSPROG.Q,PICQD.UCONSBS.ASSET.TANFIX.OTHER.Q,PICQD.UCONSBS.ASSET.INTFIX.Q,PICQD.UCONSBS.ASSET.INTFIX.SOFT.Q,PICQD.UCONSBS.ASSET.INTFIX.OTHER.Q,PICQD.UCONSBS.ASSET.AGACREC.Q,PICQD.UCONSBS.ASSET.REINREC.Q,PICQD.UCONSBS.ASSET.OTHER.Q,PICQD.UCONSBS.ASSET.DEFTAX.Q,PICQD.UCONSBS.ASSET.RESPOSLOAN.Q,PICQD.UCONSBS.ASSET.TOTAL.Q
,Unaudited Non-Consolidated Balance Sheets: Assets: Cash and deposits,Unaudited Non-Consolidated Balance Sheets: Assets: Cash and deposits: Cash,Unaudited Non-Consolidated Balance Sheets: Assets: Cash and deposits: Deposits,Unaudited Non-Consolidated Balance Sheets: Assets: Call loans,Unaudited Non-Consolidated Balance Sheets: Assets: Receivables under resale agreements ,Unaudited Non-Consolidated Balance Sheets: Assets: Receivables under securities borrowing transactions,Unaudited Non-Consolidated Balance Sheets: Assets: Monetary claims bought,Unaudited Non-Consolidated Balance Sheets: Assets: Money held in trust,Unaudited Non-Consolidated Balance Sheets: Assets: Securities,Unaudited Non-Consolidated Balance Sheets: Assets: Securities: Japanese government bonds,Unaudited Non-Consolidated Balance Sheets: Assets: Securities: Japanese local government bond,Unaudited Non-Consolidated Balance Sheets: Assets: Securities: Japanese corporate bonds,Unaudited Non-Consolidated Balance Sheets: Assets: Securities: Stocks,Unaudited Non-Consolidated Balance Sheets: Assets: Securities: Foreign securities,Unaudited Non-Consolidated Balance Sheets: Assets: Securities: Other securities,Unaudited Non-Consolidated Balance Sheets: Assets: Loans,Unaudited Non-Consolidated Balance Sheets: Assets: Loans: Policy loans,Unaudited Non-Consolidated Balance Sheets: Assets: Loans: Industrial and commercial loans,Unaudited Non-Consolidated Balance Sheets: Assets: Loans: Loans to the Management Network,Unaudited Non-Consolidated Balance Sheets: Assets: Tangible fixed assets,Unaudited Non-Consolidated Balance Sheets: Assets: Tangible fixed assets: Land,Unaudited Non-Consolidated Balance Sheets: Assets: Tangible fixed assets: Buildings,Unaudited Non-Consolidated Balance Sheets: Assets: Tangible fixed assets: Leased assets,Unaudited Non-Consolidated Balance Sheets: Assets: Tangible fixed assets: Construction in progress,Unaudited Non-Consolidated Balance Sheets: Assets: Tangible fixed assets: Other tangible fixed assets,Unaudited Non-Consolidated Balance Sheets: Assets: Intangible fixed assets,Unaudited Non-Consolidated Balance Sheets: Assets: Intangible fixed assets: Software,Unaudited Non-Consolidated Balance Sheets: Assets: Intangible fixed assets: Other intangible fixed assets,Unaudited Non-Consolidated Balance Sheets: Assets: Agency accounts receivable,Unaudited Non-Consolidated Balance Sheets: Assets: Reinsurance receivables,Unaudited Non-Consolidated Balance Sheets: Assets: Other assets,Unaudited Non-Consolidated Balance Sheets: Assets: Other assets: Accounts receivable,Unaudited Non-Consolidated Balance Sheets: Assets: Other assets: Prepaid expenses,Unaudited Non-Consolidated Balance Sheets: Assets: Other assets: Accrued income,Unaudited Non-Consolidated Balance Sheets: Assets: Other assets: Money on deposit,Unaudited Non-Consolidated Balance Sheets: Assets: Other assets: Derivative financial instruments,Unaudited Non-Consolidated Balance Sheets: Assets: Other assets: Cash collateral paid for financial instruments,Unaudited Non-Consolidated Balance Sheets: Assets: Other assets: Suspense payments,Unaudited Non-Consolidated Balance Sheets: Assets: Other assets: Other assets,Unaudited Non-Consolidated Balance Sheets: Assets: Deferred tax assets,Unaudited Non-Consolidated Balance Sheets: Assets: Reserve for possible loan losses,Unaudited Non-Consolidated Balance Sheets: Assets: Total,Unaudited Consolidated Balance Sheets: Assets: Cash and deposits,Unaudited Consolidated Balance Sheets: Assets: Call loans,Unaudited Consolidated Balance Sheets: Assets: Receivables under resale agreements ,Unaudited Consolidated Balance Sheets: Assets: Receivables under securities borrowing transactions,Unaudited Consolidated Balance Sheets: Assets: Monetary claims bought,Unaudited Consolidated Balance Sheets: Assets: Money held in trust,Unaudited Consolidated Balance Sheets: Assets: Securities,Unaudited Consolidated Balance Sheets: Assets: Loans,Unaudited Consolidated Balance Sheets: Assets: Tangible fixed assets,Unaudited Consolidated Balance Sheets: Assets: Tangible fixed assets: Land,Unaudited Consolidated Balance Sheets: Assets: Tangible fixed assets: Buildings,Unaudited Consolidated Balance Sheets: Assets: Tangible fixed assets: Leased assets,Unaudited Consolidated Balance Sheets: Assets: Tangible fixed assets: Construction in progress,Unaudited Consolidated Balance Sheets: Assets: Tangible fixed assets: Other tangible fixed assets,Unaudited Consolidated Balance Sheets: Assets: Intangible fixed assets,Unaudited Consolidated Balance Sheets: Assets: Intangible fixed assets: Software,Unaudited Consolidated Balance Sheets: Assets: Intangible fixed assets: Other intangible fixed assets,Unaudited Consolidated Balance Sheets: Assets: Agency accounts receivable,Unaudited Consolidated Balance Sheets: Assets: Reinsurance receivables,Unaudited Consolidated Balance Sheets: Assets: Other assets,Unaudited Consolidated Balance Sheets: Assets: Deferred tax assets,Unaudited Consolidated Balance Sheets: Assets: Reserve for possible loan losses,Unaudited Consolidated Balance Sheets: Assets: Total
2025-Q1,1970343.0,,,30000.0,604914.0,,23215.0,6460029.0,46528662.0,,,,,,,2530051.0,159074.0,754604.0,1616372.0,140266.0,,,,,,120899.0,,,10872.0,10641.0,398023.0,,,,,,,,,728362.0,-766.0,59555517.0,,,,,,,,,,,,,,,,,,,,,,,
2025-Q4,1510713.0,,,30000.0,627330.0,,21887.0,7815229.0,45548052.0,,,,,,,2321713.0,163114.0,712898.0,1445699.0,137635.0,,,,,,125544.0,,,12042.0,14762.0,455049.0,,,,,,,,,358433.0,-984.0,58977410.0,,,,,,,,,,,,,,,,,,,,,,,
