period,PICQD.UNONCONSBS.ASSET.CASHDEP.Q,PICQD.UNONCONSBS.ASSET.CASHDEP.CASH.Q,PICQD.UNONCONSBS.ASSET.CASHDEP.DEP.Q,PICQD.UNONCONSBS.ASSET.CALLOAN.Q,PICQD.UNONCONSBS.ASSET.RECRESAGREE.Q,PICQD.UNONCONSBS.ASSET.RECSECBORTRANS.Q,PICQD.UNONCONSBS.ASSET.MONCLAIMBOU.Q,PICQD.UNONCONSBS.ASSET.MONHELD.Q,PICQD.UNONCONSBS.ASSET.SEC.Q,PICQD.UNONCONSBS.ASSET.SEC.JGOVBOND.Q,PICQD.UNONCONSBS.ASSET.SEC.JLOCGOVBOND.Q,PICQD.UNONCONSBS.ASSET.SEC.JCORPBOND.Q,PICQD.UNONCONSBS.ASSET.SEC.STOCK.Q,PICQD.UNONCONSBS.ASSET.SEC.FORSEC.Q,PICQD.UNONCONSBS.ASSET.SEC.OTHER.Q,PICQD.UNONCONSBS.ASSET.LOAN.Q,PICQD.UNONCONSBS.ASSET.LOAN.POLLOAN.Q,PICQD.UNONCONSBS.ASSET.LOAN.INDCOMLOAN.Q,PICQD.UNONCONSBS.ASSET.LOAN.LOANMANNET.Q,PICQD.UNONCONSBS.ASSET.TANFIX.Q,PICQD.UNONCONSBS.ASSET.TANFIX.LAND.Q,PICQD.UNONCONSBS.ASSET.TANFIX.BUILD.Q,PICQD.UNONCONSBS.ASSET.TANFIX.LEASAS.Q,PICQD.UNONCONSBS.ASSET.TANFIX.CONSPROG.Q,PICQD.UNONCONSBS.ASSET.TANFIX.OTHER.Q,PICQD.UNONCONSBS.ASSET.INTFIXAS.Q,PICQD.UNONCONSBS.ASSET.INTFIXAS.SOFT.Q,PICQD.UNONCONSBS.ASSET.INTFIXAS.OTHER.Q,PICQD.UNONCONSBS.ASSET.AGACCREC.Q,PICQD.UNONCONSBS.ASSET.REINREC.Q,PICQD.UNONCONSBS.ASSET.OTHER.Q,PICQD.UNONCONSBS.ASSET.OTHER.ACREC.Q,PICQD.UNONCONSBS.ASSET.OTHER.PREEXP.Q,PICQD.UNONCONSBS.ASSET.OTHER.ACINC.Q,PICQD.UNONCONSBS.ASSET.OTHER.MONDEP.Q,PICQD.UNONCONSBS.ASSET.OTHER.DERFININS.Q,PICQD.UNONCONSBS.ASSET.OTHER.CAHCOLPAID.Q,PICQD.UNONCONSBS.ASSET.OTHER.SUSPAY.Q,PICQD.UNONCONSBS.ASSET.OTHER.OTHER.Q,PICQD.UNONCONSBS.ASSET.DEFTAXAS.Q,PICQD.UNONCONSBS.ASSET.RESPOSLOAN.Q,PICQD.UNONCONSBS.ASSET.TOTAL.Q
,Unaudited Non-Consolidated Balance Sheets: Assets: Cash and deposits,Unaudited Non-Consolidated Balance Sheets: Assets: Cash and deposits: Cash,Unaudited Non-Consolidated Balance Sheets: Assets: Cash and deposits: Deposits,Unaudited Non-Consolidated Balance Sheets: Assets: Call loans,Unaudited Non-Consolidated Balance Sheets: Assets: Receivables under resale agreements ,Unaudited Non-Consolidated Balance Sheets: Assets: Receivables under securities borrowing transactions,Unaudited Non-Consolidated Balance Sheets: Assets: Monetary claims bought,Unaudited Non-Consolidated Balance Sheets: Assets: Money held in trust,Unaudited Non-Consolidated Balance Sheets: Assets: Securities,Unaudited Non-Consolidated Balance Sheets: Assets: Securities: Japanese government bonds,Unaudited Non-Consolidated Balance Sheets: Assets: Securities: Japanese local government bond,Unaudited Non-Consolidated Balance Sheets: Assets: Securities: Japanese corporate bonds,Unaudited Non-Consolidated Balance Sheets: Assets: Securities: Stocks,Unaudited Non-Consolidated Balance Sheets: Assets: Securities: Foreign securities,Unaudited Non-Consolidated Balance Sheets: Assets: Securities: Other securities,Unaudited Non-Consolidated Balance Sheets: Assets: Loans,Unaudited Non-Consolidated Balance Sheets: Assets: Loans: Policy loans,Unaudited Non-Consolidated Balance Sheets: Assets: Loans: Industrial and commercial loans,Unaudited Non-Consolidated Balance Sheets: Assets: Loans: Loans to the Management Network,Unaudited Non-Consolidated Balance Sheets: Assets: Tangible fixed assets,Unaudited Non-Consolidated Balance Sheets: Assets: Tangible fixed assets: Land,Unaudited Non-Consolidated Balance Sheets: Assets: Tangible fixed assets: Buildings,Unaudited Non-Consolidated Balance Sheets: Assets: Tangible fixed assets: Leased assets,Unaudited Non-Consolidated Balance Sheets: Assets: Tangible fixed assets: Construction in progress,Unaudited Non-Consolidated Balance Sheets: Assets: Tangible fixed assets: Other tangible fixed assets,Unaudited Non-Consolidated Balance Sheets: Assets: Intangible fixed assets,Unaudited Non-Consolidated Balance Sheets: Assets: Intangible fixed assets: Software,Unaudited Non-Consolidated Balance Sheets: Assets: Intangible fixed assets: Other intangible fixed assets,Unaudited Non-Consolidated Balance Sheets: Assets: Agency accounts receivable,Unaudited Non-Consolidated Balance Sheets: Assets: Reinsurance receivables,Unaudited Non-Consolidated Balance Sheets: Assets: Other assets,Unaudited Non-Consolidated Balance Sheets: Assets: Other assets: Accounts receivable,Unaudited Non-Consolidated Balance Sheets: Assets: Other assets: Prepaid expenses,Unaudited Non-Consolidated Balance Sheets: Assets: Other assets: Accrued income,Unaudited Non-Consolidated Balance Sheets: Assets: Other assets: Money on deposit,Unaudited Non-Consolidated Balance Sheets: Assets: Other assets: Derivative financial instruments,Unaudited Non-Consolidated Balance Sheets: Assets: Other assets: Cash collateral paid for financial instruments,Unaudited Non-Consolidated Balance Sheets: Assets: Other assets: Suspense payments,Unaudited Non-Consolidated Balance Sheets: Assets: Other assets: Other assets,Unaudited Non-Consolidated Balance Sheets: Assets: Deferred tax assets,Unaudited Non-Consolidated Balance Sheets: Assets: Reserve for possible loan losses,Unaudited Non-Consolidated Balance Sheets: Assets: Total
2025-Q1,1970343.0,582.0,1969761.0,30000.0,604914.0,,23215.0,6460029.0,46528662.0,35390389.0,2123485.0,4126013.0,594608.0,2024510.0,2269655.0,2530051.0,159074.0,754604.0,1616372.0,140266.0,76632.0,42921.0,4363.0,513.0,15836.0,120899.0,120887.0,11.0,10872.0,10641.0,398023.0,136783.0,4941.0,119938.0,6433.0,18674.0,56013.0,2044.0,48756.0,728362.0,-766.0,59555517.0
2026-Q1,1749746.0,717.0,1749029.0,30000.0,472482.0,,21229.0,8039836.0,44930781.0,34085398.0,1927062.0,3755681.0,787434.0,2104952.0,2270251.0,2134764.0,164791.0,676553.0,1293418.0,134944.0,75534.0,40612.0,4545.0,25.0,14227.0,128447.0,128438.0,9.0,11837.0,15779.0,454357.0,124848.0,4539.0,120239.0,6530.0,3371.0,135155.0,1711.0,53028.0,327434.0,-864.0,58450779.0
