period,PICQD.UCONSBS.ASSET.CASHDEP.Q,PICQD.UCONSBS.ASSET.CALLOAN.Q,PICQD.UCONSBS.ASSET.RECRESAGREE.Q,PICQD.UCONSBS.ASSET.RECUNSEC.Q,PICQD.UCONSBS.ASSET.MONCLAIM.Q,PICQD.UCONSBS.ASSET.MONHELD.Q,PICQD.UCONSBS.ASSET.SEC.Q,PICQD.UCONSBS.ASSET.LOAN.Q,PICQD.UCONSBS.ASSET.TANFIX.Q,PICQD.UCONSBS.ASSET.TANFIX.LAND.Q,PICQD.UCONSBS.ASSET.TANFIX.BUILD.Q,PICQD.UCONSBS.ASSET.TANFIX.LEASAS.Q,PICQD.UCONSBS.ASSET.TANFIX.CONSPROG.Q,PICQD.UCONSBS.ASSET.TANFIX.OTHER.Q,PICQD.UCONSBS.ASSET.INTFIX.Q,PICQD.UCONSBS.ASSET.INTFIX.SOFT.Q,PICQD.UCONSBS.ASSET.INTFIX.OTHER.Q,PICQD.UCONSBS.ASSET.AGACREC.Q,PICQD.UCONSBS.ASSET.REINREC.Q,PICQD.UCONSBS.ASSET.OTHER.Q,PICQD.UCONSBS.ASSET.DEFTAX.Q,PICQD.UCONSBS.ASSET.RESPOSLOAN.Q,PICQD.UCONSBS.ASSET.TOTAL.Q
,Unaudited Consolidated Balance Sheets: Assets: Cash and deposits,Unaudited Consolidated Balance Sheets: Assets: Call loans,Unaudited Consolidated Balance Sheets: Assets: Receivables under resale agreements ,Unaudited Consolidated Balance Sheets: Assets: Receivables under securities borrowing transactions,Unaudited Consolidated Balance Sheets: Assets: Monetary claims bought,Unaudited Consolidated Balance Sheets: Assets: Money held in trust,Unaudited Consolidated Balance Sheets: Assets: Securities,Unaudited Consolidated Balance Sheets: Assets: Loans,Unaudited Consolidated Balance Sheets: Assets: Tangible fixed assets,Unaudited Consolidated Balance Sheets: Assets: Tangible fixed assets: Land,Unaudited Consolidated Balance Sheets: Assets: Tangible fixed assets: Buildings,Unaudited Consolidated Balance Sheets: Assets: Tangible fixed assets: Leased assets,Unaudited Consolidated Balance Sheets: Assets: Tangible fixed assets: Construction in progress,Unaudited Consolidated Balance Sheets: Assets: Tangible fixed assets: Other tangible fixed assets,Unaudited Consolidated Balance Sheets: Assets: Intangible fixed assets,Unaudited Consolidated Balance Sheets: Assets: Intangible fixed assets: Software,Unaudited Consolidated Balance Sheets: Assets: Intangible fixed assets: Other intangible fixed assets,Unaudited Consolidated Balance Sheets: Assets: Agency accounts receivable,Unaudited Consolidated Balance Sheets: Assets: Reinsurance receivables,Unaudited Consolidated Balance Sheets: Assets: Other assets,Unaudited Consolidated Balance Sheets: Assets: Deferred tax assets,Unaudited Consolidated Balance Sheets: Assets: Reserve for possible loan losses,Unaudited Consolidated Balance Sheets: Assets: Total
2025-Q1,1976083.0,30000.0,604914.0,,23215.0,6460029.0,46528793.0,2530051.0,141068.0,76632.0,43040.0,4363.0,525.0,16507.0,113596.0,113585.0,11.0,10872.0,10641.0,398321.0,728870.0,-766.0,59555692.0
2026-Q1,1752984.0,30000.0,472482.0,,21229.0,8039836.0,44931286.0,2134764.0,135807.0,75534.0,40714.0,4759.0,25.0,14772.0,119394.0,119385.0,9.0,11837.0,15779.0,454878.0,322742.0,-864.0,58442160.0
